============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.18-s082_1
  Generated on:           Oct 23 2023  04:12:34 pm
  Module:                 cv32e40s_core
  Operating conditions:   PVT_1P1V_0C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                
   Gate    Instances    Area        Library    
-----------------------------------------------
ADDFX1           367   1882.710    fast_vdd1v0 
ADDHX1           271   1019.502    fast_vdd1v0 
AND2X1           213    291.384    fast_vdd1v0 
AND2X2            64    109.440    fast_vdd1v0 
AND2X4             9     24.624    fast_vdd1v0 
AND3X1             6     14.364    fast_vdd1v0 
AND3X2             2      5.472    fast_vdd1v0 
AND3XL            11     22.572    fast_vdd1v0 
AND4X1             6     14.364    fast_vdd1v0 
AND4X2             3      9.234    fast_vdd1v0 
AO21X1            45    107.730    fast_vdd1v0 
AO21X2             5     13.680    fast_vdd1v0 
AO21X4             6     20.520    fast_vdd1v0 
AO22X1           296    809.856    fast_vdd1v0 
AO22X4             3     11.286    fast_vdd1v0 
AOI211XL         121    248.292    fast_vdd1v0 
AOI21X1           15     25.650    fast_vdd1v0 
AOI21XL           66    112.860    fast_vdd1v0 
AOI221X1         605   1448.370    fast_vdd1v0 
AOI222X1         201    618.678    fast_vdd1v0 
AOI22X1          138    283.176    fast_vdd1v0 
AOI22X2            2      7.524    fast_vdd1v0 
AOI22XL         1742   3574.584    fast_vdd1v0 
AOI2BB1XL         13     26.676    fast_vdd1v0 
AOI2BB2X1         11     37.620    fast_vdd1v0 
AOI31X1           35     71.820    fast_vdd1v0 
AOI31X2            1      3.420    fast_vdd1v0 
AOI32X1           29     69.426    fast_vdd1v0 
AOI33XL            7     16.758    fast_vdd1v0 
BUFX2             94    160.740    fast_vdd1v0 
CLKAND2X3          1      3.078    fast_vdd1v0 
CLKAND2X6          1      4.788    fast_vdd1v0 
CLKINVX6           1      2.394    fast_vdd1v0 
CLKMX2X2          26     80.028    fast_vdd1v0 
CLKMX2X3           1      4.104    fast_vdd1v0 
CLKMX2X4          56    229.824    fast_vdd1v0 
CLKXOR2X1         91    248.976    fast_vdd1v0 
CLKXOR2X2          2      6.840    fast_vdd1v0 
CLKXOR2X4          1      4.446    fast_vdd1v0 
DFFRHQX1         451   2776.356    fast_vdd1v0 
DFFRHQX4          66    632.016    fast_vdd1v0 
DFFRX1           161   1101.240    fast_vdd1v0 
DFFRX2             3     22.572    fast_vdd1v0 
DFFRX4             3     28.728    fast_vdd1v0 
DFFSHQX1         127    825.246    fast_vdd1v0 
DFFSHQX4           1      9.576    fast_vdd1v0 
DFFSX1             2     15.048    fast_vdd1v0 
INVX1            552    377.568    fast_vdd1v0 
