============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.18-s082_1
  Generated on:           Oct 23 2023  03:45:36 pm
  Module:                 cv32e40s_core
  Operating conditions:   PVT_1P1V_0C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                
   Gate    Instances    Area        Library    
-----------------------------------------------
ADDFX1           367   1882.710    fast_vdd1v0 
ADDHX1           254    955.548    fast_vdd1v0 
AND2X1           206    281.808    fast_vdd1v0 
AND2X2            67    114.570    fast_vdd1v0 
AND2X4             9     24.624    fast_vdd1v0 
AND3X1             5     11.970    fast_vdd1v0 
AND3X2             1      2.736    fast_vdd1v0 
AND3XL            15     30.780    fast_vdd1v0 
AND4X1             6     14.364    fast_vdd1v0 
AND4X2             3      9.234    fast_vdd1v0 
AO21X1            46    110.124    fast_vdd1v0 
AO21X2             2      5.472    fast_vdd1v0 
AO21X4             6     20.520    fast_vdd1v0 
AO22X1           308    842.688    fast_vdd1v0 
AO22X2             3      9.234    fast_vdd1v0 
AO22X4             3     11.286    fast_vdd1v0 
AO22XL             1      2.736    fast_vdd1v0 
AOI211XL         117    240.084    fast_vdd1v0 
AOI21X1            7     11.970    fast_vdd1v0 
AOI21XL           63    107.730    fast_vdd1v0 
AOI221X1         574   1374.156    fast_vdd1v0 
AOI222X1         185    569.430    fast_vdd1v0 
AOI22X1           81    166.212    fast_vdd1v0 
AOI22X4            8     49.248    fast_vdd1v0 
AOI22XL         1722   3533.544    fast_vdd1v0 
AOI2BB1X1          1      2.052    fast_vdd1v0 
AOI2BB1XL         13     26.676    fast_vdd1v0 
AOI2BB2X1          8     27.360    fast_vdd1v0 
AOI31X1           21     43.092    fast_vdd1v0 
AOI31X2            1      3.420    fast_vdd1v0 
AOI32X1           28     67.032    fast_vdd1v0 
AOI33XL            7     16.758    fast_vdd1v0 
BUFX2             94    160.740    fast_vdd1v0 
CLKAND2X6          1      4.788    fast_vdd1v0 
CLKINVX20          1      6.498    fast_vdd1v0 
CLKINVX4           1      1.710    fast_vdd1v0 
CLKINVX8           1      3.078    fast_vdd1v0 
CLKMX2X2          26     80.028    fast_vdd1v0 
CLKMX2X3           1      4.104    fast_vdd1v0 
CLKMX2X4          56    229.824    fast_vdd1v0 
CLKXOR2X1         88    240.768    fast_vdd1v0 
CLKXOR2X2          2      6.840    fast_vdd1v0 
CLKXOR2X4          1      4.446    fast_vdd1v0 
DFFRHQX1         445   2739.420    fast_vdd1v0 
DFFRHQX4          65    622.440    fast_vdd1v0 
DFFRX1           156   1067.040    fast_vdd1v0 
DFFRX2             3     22.572    fast_vdd1v0 
DFFRX4             4     38.304    fast_vdd1v0 
